"Varied parameter ","Value ","Core starts ","Core ends ","Duration ","Esquel depth ","Imilac depth "
,,"Myr ","Myr ","Myr ","km ","km "
"rp ","600 km ",1022,1201,179,31,22
"rp ","150 km ",61,86,25,52,51
"rc ","200 km ",95,157,62,27,25
"rc ","50 km ",199,240,41,93,69
"dreg ","20 km ",245,326,81,44,30
"dreg ","0 km ",159,230,70,64,57
"km ","4 W m−1 K−1 ",132,185,53,77,67
"km ","1.5 W m−1 K−1 ",330,400,70,42,36
"cm ","2000 J kg−1 K−1 ",293,383,90,37,32
"cm ","600 J kg−1 K−1 ",148,215,67,71,65
"ρm ","3560 kg m−3 ",177,249,71,62,55
"ρm ","2500 kg m−3 ",149,216,67,71,64
"cc ","850 J kg−1 K−1 ",172,242,71,64,57
"cc ","780 J kg−1 K−1 ",166,237,71,65,58
"ρc ","7800 kg m−3 ",172,242,71,64,57
"ρc ","7011 kg m−3 ",164,229,65,65,58
"Tinit ","1820 K ",213,283,70,57,51
"Tinit ","1450 K ",138,210,72,70,62
"Tsurf ","300 K ",176,250,74,58,52
"Tsurf ","150 K ",164,228,65,75,67
"lc ","2.56 × 105 J K−1 kg−1 ",172,239,67,64,57
"TL ","1213 K ",168,238,70,64,57
